x,f_hz,V_real,V_imag,l,b,h,rho,E0,eta,F_tip,m_tip,k_phi,k_x,use_ideal
0.2,77.0,-0.00015077147251473688,-0.21292919243326838,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,78.0,-0.00014423213147604421,-0.21057434831216412,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,79.0,-0.00013846176327045028,-0.20826380720411983,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,80.0,-0.00013338155984956234,-0.20599770218331112,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,81.0,-0.00012892509033825706,-0.20377598446379,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,82.0,-0.0001250363552827242,-0.20159846166481954,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,83.0,-0.00012166822663176276,-0.1994648292016044,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,84.0,-0.000118781194580162,-0.19737469617538553,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,85.0,-0.00011634236112200779,-0.19532760684919465,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,86.0,-0.00011432463428298109,-0.1933230585749084,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,87.0,-0.00011270608778259806,-0.1913605168671259,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,88.0,-0.00011146945922354476,-0.1894394281877261,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,89.0,-0.00011060176647356204,-0.18755923090286442,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,90.0,-0.00011009402718300813,-0.1857193647950645,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,91.0,-0.0001099410707360296,-0.18391927945206935,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,92.0,-0.00011014143565172787,-0.1821584418076479,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,93.0,-0.00011069734876615924,-0.18043634307496015,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,94.0,-0.00011161478563356987,-0.17875250528848682,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,95.0,-0.00011290361466909323,-0.17710648765465717,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,96.0,-0.00011457783079311555,-0.17549789290338716,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,97.0,-0.00011665588792469881,-0.17392637383248447,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,98.0,-0.00011916114382998904,-0.17239164024441928,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,99.0,-0.00012212243583444593,-0.1708934664909425,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,100.0,-0.00012557481210479437,-0.16943169986660492,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,101.0,-0.0001295604510568952,-0.16800627012922303,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,102.0,-0.00013412981157032134,-0.16661720047640977,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,103.0,-0.0001393430699409996,-0.16526462037620968,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,104.0,-0.00014527191706661144,-0.16394878074193647,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,105.0,-0.0001520018129097502,-0.16267007206389458,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,106.0,-0.00015963482721342154,-0.16142904627410912,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
